"Event Date","Event Time","Mill Number","One Minute Mean"
"01/23/2021","09:45:00","2","87"
"01/23/2021","09:45:00","4","132"
"01/23/2021","09:45:00","5","42"
"01/23/2021","09:45:00","6","174"
"01/23/2021","09:45:00","8","163"
"01/23/2021","09:45:00","9","160"
"01/23/2021","09:45:00","11","188"
"01/23/2021","09:45:00","12","168"
"01/23/2021","09:45:00","14","139"
"01/23/2021","09:45:00","15","117"
"01/23/2021","09:45:00","16","170"
"01/23/2021","09:45:00","17","199"
"01/23/2021","09:45:00","18","138"
"01/23/2021","09:45:00","19","205"
"01/23/2021","09:45:00","20","140"
"01/23/2021","09:45:00","21","86"
"01/23/2021","09:45:00","22","12"
"01/23/2021","09:45:00","24","163"
"01/23/2021","09:45:00","25","110"
"01/23/2021","09:45:00","26","85"
"01/23/2021","09:45:00","27","-53"
"01/23/2021","09:45:00","29","68"
"01/23/2021","09:45:00","30","179"
"01/23/2021","09:45:00","31","72"
"01/23/2021","09:45:00","32","68"
"01/23/2021","09:45:00","34","173"
"01/23/2021","09:46:00","1","163"
"01/23/2021","09:46:00","2","76"
"01/23/2021","09:46:00","4","134"
"01/23/2021","09:46:00","5","35"
"01/23/2021","09:46:00","6","177"
"01/23/2021","09:46:00","8","161"
"01/23/2021","09:46:00","9","161"
"01/23/2021","09:46:00","11","188"
"01/23/2021","09:46:00","12","172"
"01/23/2021","09:46:00","14","141"
"01/23/2021","09:46:00","15","114"
"01/23/2021","09:46:00","16","178"
"01/23/2021","09:46:00","17","207"
"01/23/2021","09:46:00","18","136"
"01/23/2021","09:46:00","19","207"
"01/23/2021","09:46:00","20","153"
"01/23/2021","09:46:00","21","83"
"01/23/2021","09:46:00","22","12"
"01/23/2021","09:46:00","24","174"
"01/23/2021","09:46:00","25","112"
"01/23/2021","09:46:00","26","83"
"01/23/2021","09:46:00","27","-64"
"01/23/2021","09:46:00","29","71"
"01/23/2021","09:46:00","30","174"
"01/23/2021","09:46:00","31","82"
"01/23/2021","09:46:00","32","70"
"01/23/2021","09:46:00","34","172"
"01/23/2021","09:47:00","1","166"
"01/23/2021","09:47:00","2","82"
"01/23/2021","09:47:00","4","137"
"01/23/2021","09:47:00","5","31"
"01/23/2021","09:47:00","6","177"
"01/23/2021","09:47:00","8","157"
"01/23/2021","09:47:00","9","160"
"01/23/2021","09:47:00","11","187"
"01/23/2021","09:47:00","12","179"
"01/23/2021","09:47:00","14","144"
"01/23/2021","09:47:00","15","111"
"01/23/2021","09:47:00","16","173"
"01/23/2021","09:47:00","17","224"
"01/23/2021","09:47:00","18","121"
"01/23/2021","09:47:00","19","207"
"01/23/2021","09:47:00","20","151"
"01/23/2021","09:47:00","21","85"
"01/23/2021","09:47:00","22","12"
"01/23/2021","09:47:00","24","172"
"01/23/2021","09:47:00","25","113"
"01/23/2021","09:47:00","26","88"
"01/23/2021","09:47:00","27","-67"
"01/23/2021","09:47:00","29","77"
"01/23/2021","09:47:00","30","172"
"01/23/2021","09:47:00","31","87"
"01/23/2021","09:47:00","32","73"
"01/23/2021","09:47:00","34","171"
"01/23/2021","09:48:00","1","166"
"01/23/2021","09:48:00","2","78"
"01/23/2021","09:48:00","4","140"
"01/23/2021","09:48:00","5","29"
"01/23/2021","09:48:00","6","176"
"01/23/2021","09:48:00","8","154"
"01/23/2021","09:48:00","9","158"
"01/23/2021","09:48:00","11","186"
"01/23/2021","09:48:00","12","185"
"01/23/2021","09:48:00","14","143"
"01/23/2021","09:48:00","15","112"
"01/23/2021","09:48:00","16","178"
"01/23/2021","09:48:00","17","235"
"01/23/2021","09:48:00","18","111"
"01/23/2021","09:48:00","19","206"
"01/23/2021","09:48:00","20","146"
"01/23/2021","09:48:00","21","88"
"01/23/2021","09:48:00","22","14"
