"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/01/2016","20:30:00","0313 NE  SW","492","5","","","","","","","","70.8","","56.9","61",""
"03/01/2016","20:30:00","0002 SE  SE","6","5","","","","","","","","73.4","","63.0","70",""
"03/01/2016","20:30:00","0002 SE  SE","12","5","148","7","147","12","147","12","12","","","","",""
"03/01/2016","20:30:00","0002 SE  SE","54","5","150","9","154","13","154","13","8","72.6","-0.8","63.9","74",""
"03/01/2016","20:30:00","0002 SE  SE","90","5","146","10","150","14","150","14","7","","","","",""
"03/01/2016","20:30:00","0002 SE  SE","145","5","146","11","156","15","156","15","5","","","","",""
"03/01/2016","20:30:00","0002 SE  SE","204","5","152","12","154","14","154","14","3","70.0","","62.4","77",""
"03/01/2016","20:30:00","0006 SE  SE","6","5","","","","","","","","74.2","","62.6","67",""
"03/01/2016","20:30:00","0006 SE  SE","12","5","141","8","154","13","154","13","15","","","","",""
"03/01/2016","20:30:00","0006 SE  SE","54","5","132","10","127","15","127","15","13","72.9","-1.4","61.3","67",""
"03/01/2016","20:30:00","0006 SE  SE","162","5","139","11","148","16","148","16","10","","","","",""
"03/01/2016","20:30:00","0006 SE  SE","204","5","142","12","140","17","147","18","10","72.0","","61.6","70",""
"03/01/2016","20:30:00","0110 SE  SE","6","5","","","","","","","","74.6","","62.6","66",""
"03/01/2016","20:30:00","0110 SE  SE","12","5","131","8","122","13","122","13","18","","","","",""
"03/01/2016","20:30:00","0110 SE  SE","54","5","140","13","141","17","145","18","12","73.0","-1.6","62.6","70",""
"03/01/2016","20:30:00","0110 SE  SE","162","5","139","15","134","18","134","18","9","","","","",""
"03/01/2016","20:30:00","0110 SE  SE","204","5","139","15","122","19","122","19","8","71.2","","61.0","70",""
"03/01/2016","20:30:00","0313 SW  SW","6","5","","","","","","","","76.1","","59.5","56","1017.6"
"03/01/2016","20:30:00","0313 SW  SW","12","5","140","8","134","13","134","13","16","","","","",""
"03/01/2016","20:30:00","0313 SW  SW","54","5","149","10","143","14","128","14","14","74.7","-1.4","58.5","57",""
"03/01/2016","20:30:00","0313 SW  SW","162","5","151","11","150","15","149","16","11","","","","",""
"03/01/2016","20:30:00","0313 SW  SW","204","5","149","11","169","15","145","16","11","","","","",""
"03/01/2016","20:30:00","0313 SW  SW","295","5","161","14","142","18","142","18","9","","","","",""
"03/01/2016","20:30:00","0313 SW  SW","394","5","153","14","149","17","149","17","8","","","","",""
"03/01/2016","20:30:00","0313 SW  SW","492","5","148","15","149","18","149","18","8","71.8","","57.1","60",""
"03/01/2016","20:35:00","0002 NW  SE","6","5","","","","","","","","74.8","","64.1","69",""
"03/01/2016","20:35:00","0002 NW  SE","12","5","139","7","144","13","144","13","11","","","","",""
"03/01/2016","20:35:00","0002 NW  SE","54","5","137","9","142","13","142","13","8","72.5","-2.3","63.2","73",""
"03/01/2016","20:35:00","0002 NW  SE","90","5","146","10","141","14","156","14","8","","","","",""
"03/01/2016","20:35:00","0002 NW  SE","145","5","144","12","147","14","146","15","5","","","","",""
"03/01/2016","20:35:00","0002 NW  SE","204","5","146","13","146","15","143","15","3","69.9","","61.8","75",""
"03/01/2016","20:35:00","0006 NW  SE","6","5","","","","","","","","74.9","","62.4","65",""
"03/01/2016","20:35:00","0006 NW  SE","12","5","130","7","111","11","138","13","13","","","","",""
"03/01/2016","20:35:00","0006 NW  SE","54","5","130","9","129","15","156","16","12","73.1","-1.9","61.8","68",""
"03/01/2016","20:35:00","0006 NW  SE","162","5","141","11","154","18","154","18","9","","","","",""
"03/01/2016","20:35:00","0006 NW  SE","204","5","122","12","131","20","131","20","8","71.6","","60.7","69",""
"03/01/2016","20:35:00","SLC 40","54","5","","","","","","","","","","","",""
