"Event Date","Event Time","Tower Measurement Location","Height","Time Interval","Avg Wind Direction","Avg Wind Speed","Peak Wind Direction","Peak Wind Speed","Peak Wind Direction 10 Min","Peak Wind Speed 10 Min","Deviation","Temp","Temperature Difference","Dew Point","Relative Humidity","Barometric Pressure"
"03/04/2021","04:45:00","0006 NW  NW","54","5","343","7","339","13","339","13","18","56.9","-0.7","54.6","92",""
"03/04/2021","04:45:00","0006 NW  NW","162","5","343","12","349","16","353","16","10","","","","",""
"03/04/2021","04:45:00","0006 NW  NW","204","5","343","12","343","17","343","17","11","56.0","","54.0","93",""
"03/04/2021","04:45:00","0110 NW  NW","6","5","","","","","","","","58.6","","57.8","97",""
"03/04/2021","04:45:00","0110 NW  NW","12","5","338","4","341","12","341","12","30","","","","",""
"03/04/2021","04:45:00","0110 NW  NW","54","5","349","9","342","16","342","16","15","57.5","-1.1","57.5","100",""
"03/04/2021","04:45:00","0110 NW  NW","162","5","348","12","342","17","348","17","13","","","","",""
"03/04/2021","04:45:00","0110 NW  NW","204","5","344","13","342","18","342","18","8","56.8","","54.2","91",""
"03/04/2021","04:45:00","0110 SE  NW","6","5","","","","","","","","57.9","","57.6","99",""
"03/04/2021","04:45:00","0110 SE  NW","12","5","336","4","340","10","340","10","28","","","","",""
"03/04/2021","04:45:00","0110 SE  NW","54","5","344","9","340","18","340","18","15","57.9","0.0","57.6","99",""
"03/04/2021","04:45:00","0110 SE  NW","162","5","338","13","331","18","331","18","9","","","","",""
"03/04/2021","04:45:00","0110 SE  NW","204","5","349","11","346","19","346","19","18","56.7","","54.4","92",""
"03/04/2021","04:50:00","SLC 40","150","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","SLC 40","151","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","SLC 40","152","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","SLC 41","50","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","SLC 41","51","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","SLC 41","230","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","SLC 41","231","5","","","","","","","","","","","",""
"03/04/2021","04:50:00","0313 NE  SW","6","5","","","","","","","","56.9","","53.4","88","1016.3"
"03/04/2021","04:50:00","0313 NE  SW","12","5","324","6","330","12","330","12","33","","","","",""
"03/04/2021","04:50:00","0313 NE  SW","54","5","344","12","341","18","341","18","9","56.4","-0.5","55.6","97",""
