"Event Date","Event Time","Mill Number","One Minute Mean"
"05/19/2022","19:01:00","29","45"
"05/19/2022","19:01:00","30","37"
"05/19/2022","19:01:00","31","47"
"05/19/2022","19:01:00","32","37"
"05/19/2022","19:01:00","34","49"
"05/19/2022","19:01:00","35","39"
"05/19/2022","19:02:00","1","57"
"05/19/2022","19:02:00","2","37"
"05/19/2022","19:02:00","4","53"
"05/19/2022","19:02:00","5","33"
"05/19/2022","19:02:00","6","31"
"05/19/2022","19:02:00","7","37"
"05/19/2022","19:02:00","8","44"
"05/19/2022","19:02:00","9","55"
"05/19/2022","19:02:00","10","29"
"05/19/2022","19:02:00","11","27"
"05/19/2022","19:02:00","12","35"
"05/19/2022","19:02:00","14","46"
"05/19/2022","19:02:00","15","34"
"05/19/2022","19:02:00","16","52"
"05/19/2022","19:02:00","17","26"
"05/19/2022","19:02:00","18","24"
"05/19/2022","19:02:00","19","30"
"05/19/2022","19:02:00","20","29"
"05/19/2022","19:02:00","21","21"
"05/19/2022","19:02:00","22","19"
"05/19/2022","19:02:00","24","34"
"05/19/2022","19:02:00","25","69"
"05/19/2022","19:02:00","26","62"
"05/19/2022","19:02:00","28","36"
"05/19/2022","19:02:00","29","39"
"05/19/2022","19:02:00","30","39"
"05/19/2022","19:02:00","31","51"
"05/19/2022","19:02:00","32","37"
"05/19/2022","19:02:00","34","45"
"05/19/2022","19:02:00","35","46"
"05/19/2022","19:03:00","1","52"
"05/19/2022","19:03:00","2","39"
"05/19/2022","19:03:00","4","56"
"05/19/2022","19:03:00","5","33"
"05/19/2022","19:03:00","6","29"
"05/19/2022","19:03:00","7","37"
"05/19/2022","19:03:00","8","44"
"05/19/2022","19:03:00","9","54"
"05/19/2022","19:03:00","10","31"
"05/19/2022","19:03:00","11","28"
"05/19/2022","19:03:00","12","35"
"05/19/2022","19:03:00","14","47"
"05/19/2022","19:03:00","15","31"
"05/19/2022","19:03:00","16","52"
"05/19/2022","19:03:00","17","28"
"05/19/2022","19:03:00","18","23"
"05/19/2022","19:03:00","19","32"
"05/19/2022","19:03:00","20","28"
"05/19/2022","19:03:00","21","19"
"05/19/2022","19:03:00","22","19"
"05/19/2022","19:03:00","24","31"
"05/19/2022","19:03:00","25","59"
"05/19/2022","19:03:00","26","57"
"05/19/2022","19:03:00","28","36"
"05/19/2022","19:03:00","29","35"
"05/19/2022","19:03:00","30","40"
"05/19/2022","19:03:00","31","51"
"05/19/2022","19:03:00","32","39"
"05/19/2022","19:03:00","34","47"
"05/19/2022","19:03:00","35","44"
"05/19/2022","19:04:00","1","54"
"05/19/2022","19:04:00","2","42"
"05/19/2022","19:04:00","4","52"
"05/19/2022","19:04:00","5","32"
"05/19/2022","19:04:00","6","31"
"05/19/2022","19:04:00","7","36"
"05/19/2022","19:04:00","8","46"
"05/19/2022","19:04:00","9","49"
"05/19/2022","19:04:00","10","36"
"05/19/2022","19:04:00","11","28"
"05/19/2022","19:04:00","12","35"
"05/19/2022","19:04:00","14","46"
"05/19/2022","19:04:00","15","29"
"05/19/2022","19:04:00","16","51"
"05/19/2022","19:04:00","17","25"
"05/19/2022","19:04:00","18","23"
"05/19/2022","19:04:00","19","30"
"05/19/2022","19:04:00","20","27"
"05/19/2022","19:04:00","21","17"
"05/19/2022","19:04:00","22","22"
"05/19/2022","19:04:00","24","30"
"05/19/2022","19:04:00","25","58"
"05/19/2022","19:04:00","26","55"
"05/19/2022","19:04:00","28","38"
"05/19/2022","19:04:00","29","37"
"05/19/2022","19:04:00","30","42"
"05/19/2022","19:04:00","31","55"
"05/19/2022","19:04:00","32","41"
"05/19/2022","19:04:00","34","47"
"05/19/2022","19:04:00","35","40"
"05/19/2022","19:05:00","1","53"
"05/19/2022","19:05:00","2","41"
"05/19/2022","19:05:00","4","56"
"05/19/2022","19:05:00","5","31"
"05/19/2022","19:05:00","6","33"
"05/19/2022","19:05:00","7","36"
"05/19/2022","19:05:00","8","45"
"05/19/2022","19:05:00","9","45"
"05/19/2022","19:05:00","10","35"
"05/19/2022","19:05:00","11","29"
"05/19/2022","19:05:00","12","36"
"05/19/2022","19:05:00","14","46"
"05/19/2022","19:05:00","15","33"
"05/19/2022","19:05:00","16","50"
"05/19/2022","19:05:00","17","26"
"05/19/2022","19:05:00","18","23"
"05/19/2022","19:05:00","19","29"
"05/19/2022","19:05:00","20","28"
"05/19/2022","19:05:00","21","17"
"05/19/2022","19:05:00","22","22"
"05/19/2022","19:05:00","24","30"
"05/19/2022","19:05:00","25","63"
"05/19/2022","19:05:00","26","60"
"05/19/2022","19:05:00","28","42"
"05/19/2022","19:05:00","29","38"
"05/19/2022","19:05:00","30","45"
